ORIG_350r
  hardpoint_cockpit_flair                         S1   Flair_Cockpit.Flair_Static                                                                                         UNKNOWN                                 
  hardpoint_shield_generator_left                 S1   Shield                                            SHLD_YORM_S01_Targa_SCItem                                       Shield generators                       
  hardpoint_shield_generator_right                S1   Shield                                            SHLD_YORM_S01_Targa_SCItem                                       Shield generators                       
  hardpoint_cooler_left                           S1   Cooler                                            COOL_ACOM_S01_QuickCool_SCItem                                   Coolers                                 
  hardpoint_cooler_right                          S1   Cooler                                            COOL_ACOM_S01_QuickCool_SCItem                                   Coolers                                 
  hardpoint_radar                                 S1   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_NAVE_S01_SNSR6                                              Radars                                  
  hardpoint_selfdestruct                          S1   SelfDestruct                                      VHCL_SelfDestruct_10s                                            Self destruct                           
   hardpoint_paint_seat                           S1   Misc                                              Paint_300_Seat_Black                                             UNKNOWN                                 
   hardpoint_paint_trim                           S1   Misc                                              Paint_300_SeatTrim_GlossYellow                                   UNKNOWN                                 
  hardpoint_dashboard_pilot                       S4   SeatDashboard                                     ORIG_350r_Dashboard_Pilot                                        UNKNOWN                                 
   hardpoint_cockpit_radar                        S1   Display                                           ORIG_300_RADR_Display                                            UNKNOWN                                 
   hardpoint_paint_dash                           S1   Misc                                              Paint_300_Dash_CarbonFiber                                       UNKNOWN                                 
   hardpoint_dash_yoke                            S1   Misc                                              ORIG_350r_Yoke                                                   UNKNOWN                                 
   Display_HUD                                    S1                                                     Projector_HUD_Generic                                            UNKNOWN                                 
  hardpoint_controller_flight                     S1   FlightController                                  Controller_Flight_ORIG_350r                                      UNKNOWN                                 
  hardpoint_controller_energy                     S1   EnergyController                                  Controller_Energy                                                UNKNOWN                                 
  hardpoint_weapon_regen_pool                     S1   WeaponRegenPool                                   WeaponRegenPool_Crew_Dogfighter                                  Weapon regen pool                       
  hardpoint_weapon_regen_pool_turrets             S1   WeaponRegenPool                                                                                                    Weapon regen pool                       
  hardpoint_controller_capacitor_assignment       S1   CapacitorAssignmentController                     Controller_CapacitorAssignment                                   UNKNOWN                                 
  hardpoint_controller_cooler                     S1   CoolerController                                  Controller_Cooler                                                UNKNOWN                                 
  hardpoint_controller_shield                     S1   ShieldController                                  Controller_Shield_ORIG_300                                       UNKNOWN                                 
  hardpoint_controller_weapon                     S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
  hardpoint_controller_comms                      S1   CommsController                                   Controller_Comms                                                 UNKNOWN                                 
  hardpoint_mav_thruster_nose_top_left            S1   ManneuverThruster                                 ORIG_350r_Thruster_Mav_Fixed_01                                  Maneuvering thrusters                   
  hardpoint_mav_thruster_nose_bottom_left         S1   ManneuverThruster                                 ORIG_350r_Thruster_Mav_Fixed_01                                  Maneuvering thrusters                   
  hardpoint_mav_thruster_nose_top_right           S1   ManneuverThruster                                 ORIG_350r_Thruster_Mav_Fixed_01                                  Maneuvering thrusters                   
  hardpoint_mav_thruster_nose_bottom_right        S1   ManneuverThruster                                 ORIG_350r_Thruster_Mav_Fixed_01                                  Maneuvering thrusters                   
  hardpoint_mav_thruster_nose_middle_left         S1   ManneuverThruster                                 ORIG_350r_Thruster_Mav_Fixed_02                                  Maneuvering thrusters                   
  hardpoint_mav_thruster_nose_middle_right        S1   ManneuverThruster                                 ORIG_350r_Thruster_Mav_Fixed_02                                  Maneuvering thrusters                   
  helper_int_all                                  S1   Room                                                                                                               Rooms                                   
  hardpoint_bed                                   S1   Seat, Usable                                      Bed_Capsule_ORIG_350r                                            Usables                                 
   Pillow                                         S2                                                                                                                      UNKNOWN                                 
  hardpoint_weapon_nose                           S3   Turret.GunTurret, WeaponGun.Gun                   BEHR_BallisticRepeater_S3                                        Weapon hardpoints                       
  hardpoint_controller_light                      S1   LightController                                   Controller_Light                                                 UNKNOWN                                 
  hardpoint_controller_door                       S1   DoorController                                    Controller_Door                                                  UNKNOWN                                 
  hardpoint_cargo_door_front                      S1   Door                                              ORIG_350r_Cargo_Cover_Front                                      Doors                                   
  hardpoint_cargo_door_rear                       S1   Door                                              ORIG_300i_CargoBay_Rear                                          Doors                                   
   hardpoint_cargo_grid_rear                      S1   Cargo                                             ORIG_300i_CargoGrid_Rear                                         Cargo grids                             
  hardpoint_armor                                 S1   Armor                                             ARMR_ORIG_350r                                                   Armor                                   
  hardpoint_scanner                               S1   Scanner                                           test_scanner                                                     Scanners                                
  hardpoint_ping                                  S1   Ping                                              test_ping                                                        Pings                                   
  hardpoint_paint                                 S1   Paints                                            Paint_350r_Base                                                  Paints                                  
  hardpoint_350r_nose_winglet_right               S1   Misc                                              ORIG_350r_Winglet                                                UNKNOWN                                 
  hardpoint_350r_nose_winglet_left                S1   Misc                                              ORIG_350r_Winglet                                                UNKNOWN                                 
   hardpoint_fuel_tank_left                       S1   FuelTank                                          HTNK_ORIG_350r                                                   Fuel tanks                              
   hardpoint_fuel_tank_right                      S1   FuelTank                                          HTNK_ORIG_350r                                                   Fuel tanks                              
