RSI_Bengal
      hardpoint_thruster_main_small_lower_top_rightS1   MainThruster                                      RSI_Bengal_Thruster_Main_Small                                   Main thrusters                          
      hardpoint_thruster_main_small_lower_bottom_rightS1   MainThruster                                      RSI_Bengal_Thruster_Main_Small                                   Main thrusters                          
      hardpoint_thruster_main_medium_outer_right  S1   MainThruster                                      RSI_Bengal_Thruster_Main_Medium                                  Main thrusters                          
      hardpoint_thruster_main_medium_inner_right  S1   MainThruster                                      RSI_Bengal_Thruster_Main_Medium                                  Main thrusters                          
      hardpoint_thruster_main_lage_upper_right    S1   MainThruster                                      RSI_Bengal_Thruster_Main_Large                                   Main thrusters                          
      hardpoint_thruster_main_lage_lower_right    S1   MainThruster                                      RSI_Bengal_Thruster_Main_Large                                   Main thrusters                          
      hardpoint_thruster_main_small_upper_top_rightS1   MainThruster                                      RSI_Bengal_Thruster_Main_Small                                   Main thrusters                          
      hardpoint_thruster_main_small_upper_bottom_rightS1   MainThruster                                      RSI_Bengal_Thruster_Main_Small                                   Main thrusters                          
      hardpoint_thruster_main_medium_upper_right  S1   MainThruster                                      RSI_Bengal_Thruster_Main_Medium                                  Main thrusters                          
      hardpoint_thruster_main_small_lower_top_leftS1   MainThruster                                      RSI_Bengal_Thruster_Main_Small                                   Main thrusters                          
      hardpoint_thruster_main_small_lower_bottom_leftS1   MainThruster                                      RSI_Bengal_Thruster_Main_Small                                   Main thrusters                          
      hardpoint_thruster_main_medium_outer_left   S1   MainThruster                                      RSI_Bengal_Thruster_Main_Medium                                  Main thrusters                          
      hardpoint_thruster_main_medium_inner_left   S1   MainThruster                                      RSI_Bengal_Thruster_Main_Medium                                  Main thrusters                          
      hardpoint_thruster_main_lage_upper_left     S1   MainThruster                                      RSI_Bengal_Thruster_Main_Large                                   Main thrusters                          
      hardpoint_thruster_main_lage_lower_left     S1   MainThruster                                      RSI_Bengal_Thruster_Main_Large                                   Main thrusters                          
      hardpoint_thruster_main_medium_upper_left   S1   MainThruster                                      RSI_Bengal_Thruster_Main_Medium                                  Main thrusters                          
      hardpoint_thruster_main_small_upper_top_leftS1   MainThruster                                      RSI_Bengal_Thruster_Main_Small                                   Main thrusters                          
      hardpoint_thruster_main_small_upper_bottom_leftS1   MainThruster                                      RSI_Bengal_Thruster_Main_Small                                   Main thrusters                          
    hardpoint_AA_turret_23                        S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
     turret_left                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
     turret_right                                 S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    hardpoint_AA_turret_24                        S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
     turret_left                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
     turret_right                                 S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    hardpoint_AA_turret_29                        S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
     turret_left                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
     turret_right                                 S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    hardpoint_AA_turret_30                        S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
     turret_left                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
     turret_right                                 S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    hardpoint_AA_turret_31                        S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
     turret_left                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
     turret_right                                 S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    hardpoint_AA_turret_32                        S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
     turret_left                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
     turret_right                                 S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    hardpoint_AA_turret_33                        S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
     turret_left                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
     turret_right                                 S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    hardpoint_AA_turret_34                        S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
     turret_left                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
     turret_right                                 S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    hardpoint_AA_turret_35                        S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
     turret_left                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
     turret_right                                 S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    hardpoint_AA_turret_36                        S8   Turret.GunTurret                                  RSI_Bengal_SCItem_Remote_Turret_AA                               Remote turrets                          
     turret_left                                  S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
     turret_right                                 S7   WeaponGun.Gun                                     Bengal_BallisticCannon_S7                                        Weapon hardpoints                       
    hardpoint_AA_turret_controller_23             S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
    hardpoint_AA_turret_controller_24             S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
    hardpoint_AA_turret_controller_29             S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
    hardpoint_AA_turret_controller_30             S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
    hardpoint_AA_turret_controller_31             S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
    hardpoint_AA_turret_controller_32             S1   WeaponController                                  Controller_Weapon                                                UNKNOWN                                 
    hardpoint_AA_turret_radar_23                  S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
    hardpoint_AA_turret_radar_24                  S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
    hardpoint_AA_turret_radar_29                  S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
    hardpoint_AA_turret_radar_30                  S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
    hardpoint_AA_turret_radar_31                  S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
    hardpoint_AA_turret_radar_32                  S2   Radar.ShortRangeRadar, Radar.MidRangeRadar        RADR_Default                                                     Radars                                  
    hardpoint_AI_turret_11                        S9   Turret.GunTurret                                  RSI_Bengal_SCItem_STS_Turret                                     Manned turrets                          
     turret_left                                  S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
     turret_right                                 S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
     hardpoint_aimodule                           S10  AIModule                                                                                                           UNKNOWN                                 
    hardpoint_AI_turret_12                        S9   Turret.GunTurret                                  RSI_Bengal_SCItem_STS_Turret                                     Manned turrets                          
     turret_left                                  S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
     turret_right                                 S8   WeaponGun.Gun                                     Bengal_BallisticCannon_S8                                        Weapon hardpoints                       
     hardpoint_aimodule                           S10  AIModule                                                                                                           UNKNOWN                                 
